number,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,delv_settle
131,AG2306.SHF,20220930,4413.0,4386.0,4390.0,4445.0,4366.0,4440.0,4400.0,54.0,14.0,4627.0,30539.29,30876.0,1001.0,
132,AG2306.SHF,20220929,4310.0,4355.0,4343.0,4438.0,4329.0,4413.0,4386.0,58.0,31.0,5480.0,36055.55,29875.0,2.0,
133,AG2306.SHF,20220928,4378.0,4384.0,4388.0,4399.0,4301.0,4310.0,4355.0,-74.0,-29.0,6931.0,45280.5,29873.0,2224.0,
134,AG2306.SHF,20220927,4380.0,4427.0,4407.0,4435.0,4329.0,4378.0,4384.0,-49.0,-43.0,3466.0,22797.56,27649.0,543.0,
135,AG2306.SHF,20220926,4560.0,4546.0,4478.0,4488.0,4360.0,4380.0,4427.0,-166.0,-119.0,7441.0,49411.97,27106.0,1273.0,
136,AG2306.SHF,20220923,4490.0,4486.0,4538.0,4573.0,4511.0,4560.0,4546.0,74.0,60.0,5738.0,39130.66,25833.0,1276.0,
137,AG2306.SHF,20220922,4462.0,4427.0,4500.0,4520.0,4452.0,4490.0,4486.0,63.0,59.0,5496.0,36989.58,24557.0,1725.0,
138,AG2306.SHF,20220921,4444.0,4441.0,4425.0,4469.0,4388.0,4462.0,4427.0,21.0,-14.0,3388.0,22498.62,22832.0,283.0,
139,AG2306.SHF,20220920,4424.0,4424.0,4426.0,4475.0,4408.0,4444.0,4441.0,20.0,17.0,3780.0,25180.69,22549.0,1502.0,
140,AG2306.SHF,20220919,4383.0,4405.0,4397.0,4463.0,4376.0,4424.0,4424.0,19.0,19.0,3336.0,22138.42,21047.0,1060.0,
141,AG2306.SHF,20220916,4416.0,4445.0,4444.0,4460.0,4368.0,4383.0,4405.0,-62.0,-40.0,3098.0,20474.47,19987.0,452.0,
142,AG2306.SHF,20220915,4424.0,4428.0,4457.0,4474.0,4415.0,4416.0,4445.0,-12.0,17.0,2240.0,14938.5,19535.0,227.0,
143,AG2306.SHF,20220914,4486.0,4484.0,4426.0,4477.0,4388.0,4424.0,4428.0,-60.0,-56.0,2290.0,15210.27,19308.0,325.0,
144,AG2306.SHF,20220913,4348.0,4310.0,4527.0,4599.0,4456.0,4486.0,4484.0,176.0,174.0,1857.0,12490.72,18983.0,69.0,
145,AG2306.SHF,20220909,4279.0,4261.0,4267.0,4356.0,4258.0,4348.0,4310.0,87.0,49.0,1465.0,9473.03,18914.0,153.0,
146,AG2306.SHF,20220908,4217.0,4206.0,4225.0,4290.0,4210.0,4279.0,4261.0,73.0,55.0,847.0,5414.22,18761.0,202.0,
147,AG2306.SHF,20220907,4269.0,4250.0,4264.0,4264.0,4160.0,4217.0,4206.0,-33.0,-44.0,1355.0,8549.51,18559.0,402.0,
148,AG2306.SHF,20220906,4225.0,4222.0,4232.0,4276.0,4219.0,4269.0,4250.0,47.0,28.0,952.0,6069.2,18157.0,170.0,
149,AG2306.SHF,20220905,4199.0,4186.0,4211.0,4245.0,4194.0,4225.0,4222.0,39.0,36.0,1170.0,7410.04,17987.0,65.0,
150,AG2306.SHF,20220902,4155.0,4174.0,4152.0,4206.0,4144.0,4199.0,4186.0,25.0,12.0,2475.0,15543.14,17922.0,1128.0,
151,AG2306.SHF,20220901,4241.0,4261.0,4186.0,4215.0,4135.0,4155.0,4174.0,-106.0,-87.0,3269.0,20468.59,16794.0,1617.0,
152,AG2306.SHF,20220831,4288.0,4292.0,4280.0,4287.0,4233.0,4241.0,4261.0,-51.0,-31.0,1666.0,10648.83,15177.0,814.0,
153,AG2306.SHF,20220830,4279.0,4323.0,4293.0,4320.0,4280.0,4288.0,4292.0,-35.0,-31.0,1982.0,12762.75,14363.0,1192.0,
154,AG2306.SHF,20220829,4358.0,4352.0,4338.0,4399.0,4262.0,4279.0,4323.0,-73.0,-29.0,2045.0,13261.88,13171.0,60.0,
155,AG2306.SHF,20220826,4373.0,4355.0,4355.0,4366.0,4342.0,4358.0,4352.0,3.0,-3.0,1069.0,6979.77,13111.0,676.0,
156,AG2306.SHF,20220825,4344.0,4316.0,4344.0,4384.0,4322.0,4373.0,4355.0,57.0,39.0,2201.0,14379.91,12435.0,1492.0,
157,AG2306.SHF,20220824,4309.0,4293.0,4300.0,4369.0,4289.0,4344.0,4316.0,51.0,23.0,1819.0,11777.76,10943.0,1253.0,
158,AG2306.SHF,20220823,4297.0,4303.0,4274.0,4350.0,4265.0,4309.0,4293.0,6.0,-10.0,1894.0,12196.44,9690.0,1299.0,
159,AG2306.SHF,20220822,4336.0,4360.0,4323.0,4338.0,4270.0,4297.0,4303.0,-63.0,-57.0,816.0,5267.62,8391.0,206.0,
160,AG2306.SHF,20220819,4373.0,4403.0,4409.0,4419.0,4313.0,4336.0,4360.0,-67.0,-43.0,802.0,5246.12,8185.0,180.0,
161,AG2306.SHF,20220818,4477.0,4481.0,4448.0,4452.0,4370.0,4373.0,4403.0,-108.0,-78.0,1041.0,6876.35,8005.0,202.0,
162,AG2306.SHF,20220817,4498.0,4489.0,4465.0,4498.0,4449.0,4477.0,4481.0,-12.0,-8.0,443.0,2978.06,7803.0,50.0,
163,AG2306.SHF,20220816,4573.0,4565.0,4500.0,4518.0,4462.0,4498.0,4489.0,-67.0,-76.0,699.0,4707.09,7753.0,117.0,
164,AG2306.SHF,20220815,4524.0,4518.0,4530.0,4628.0,4518.0,4573.0,4565.0,55.0,47.0,1003.0,6869.3,7636.0,255.0,
165,AG2306.SHF,20220812,4539.0,4545.0,4520.0,4546.0,4475.0,4524.0,4518.0,-21.0,-27.0,557.0,3774.98,7381.0,22.0,
166,AG2306.SHF,20220811,4526.0,4531.0,4538.0,4585.0,4520.0,4539.0,4545.0,8.0,14.0,1018.0,6940.72,7359.0,-457.0,
167,AG2306.SHF,20220810,4567.0,4542.0,4560.0,4575.0,4512.0,4526.0,4531.0,-16.0,-11.0,706.0,4798.49,7816.0,275.0,
168,AG2306.SHF,20220809,4438.0,4401.0,4500.0,4577.0,4488.0,4567.0,4542.0,166.0,141.0,715.0,4871.44,7541.0,115.0,
